src word,tgt word,src slot,src msd,tgt slot,tgt msd,src apertium tags,tgt apertium tags,annotation
zürnet,zürnen,0_9,V;SBJV;PRS;2;PL,0_0,N;DAT;PL,verb;prs;p2;pl,verb;inf - verb;ger;nom - verb;ger;dat - verb;ger;acc - verb;pri;p1;pl - verb;pri;p3;pl - verb;prs;p1;pl - verb;prs;p3;pl,ERR_TGT_SLOT_ERROR
Zerstreuer,Zerstreuer,0_5,ADJ;GEN;SG,0_5,ADJ;GEN;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
Abisais,Abisai,1_2,DET;NOM;SG,1_0,ADJ,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
verändern,veränderst,0_0,N;DAT;PL,0_10,V;IND;PRS;2;SG,verb;inf - verb;ger;nom - verb;ger;dat - verb;ger;acc - verb;pri;p1;pl - verb;pri;p3;pl - verb;prs;p1;pl - verb;prs;p3;pl,verb;pri;p2;sg - verb;prs;p2;sg,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
schlaft,schlafen,0_6,V;IND;PRS;2;PL,0_0,N;DAT;PL,verb;imp;pl - verb;pri;p2;pl,verb;inf - verb;ger;nom - verb;ger;dat - verb;ger;acc - verb;pri;p1;pl - verb;pri;p3;pl - verb;prs;p1;pl - verb;prs;p3;pl,ERR_TGT_SLOT_ERROR
Strauße,Strauß,0_3,V;SBJV;PRS;1;SG,0_12,N;NOM;SG,n;m;sg;dat - n;m;pl;nom - n;m;pl;gen - n;m;pl;acc - n;m;sg;dat;lower - n;m;pl;nom;lower - n;m;pl;gen;lower - n;m;pl;acc;lower - n;m;sg;dat;lower;compound-R - n;m;pl;nom;lower;compound-R - n;m;pl;gen;lower;compound-R - n;m;pl;acc;lower;compound-R,n;m;sg;nom - n;m;sg;dat - n;m;sg;acc - n;m;sg;nom;lower - n;m;sg;dat;lower - n;m;sg;acc;lower - n;m;sg;nom;lower;compound-R - n;m;sg;dat;lower;compound-R - n;m;sg;acc;lower;compound-R,ERR_TGT_SLOT_ERROR
zinsen,zinste,1_1,ADJ;ACC;PL,1_4,V;IND;PST;1;SG,,,UNK_TGT_SLOT_ERROR;TGT_LEXICAL_ERROR
bewahrte,bewahrest,0_4,V;SBJV;PST;1;SG,0_2,V;SBJV;PRS;2;SG,verb;pp - verb;pii;p1;sg - verb;pii;p3;sg - verb;pis;p1;sg - verb;pis;p3;sg,verb;prs;p2;sg,ERR_SRC_SLOT_ERROR
geißeln,geißelte,0_0,N;DAT;PL,0_4,V;SBJV;PST;1;SG,verb;inf - verb;ger;nom - verb;ger;dat - verb;ger;acc - verb;pri;p1;pl - verb;pri;p3;pl - verb;prs;p1;pl - verb;prs;p3;pl,verb;pii;p1;sg - verb;pii;p3;sg - verb;pis;p1;sg - verb;pis;p3;sg,ERR_SRC_SLOT_ERROR
mangeln,mangelt,0_0,N;DAT;PL,0_6,V;IND;PRS;2;PL,verb;inf - verb;ger;nom - verb;ger;dat - verb;ger;acc - n;f;pl;nom;lower - n;f;pl;gen;lower - n;f;pl;dat;lower - n;f;pl;acc;lower - verb;pri;p1;pl - verb;pri;p3;pl - verb;prs;p1;pl - verb;prs;p3;pl - n;f;pl;nom;lower;compound-R - n;f;pl;gen;lower;compound-R - n;f;pl;dat;lower;compound-R - n;f;pl;acc;lower;compound-R,verb;imp;pl - verb;pri;p2;pl - verb;pri;p3;sg - verb;prs;p2;pl,ERR_TGT_SLOT_ERROR
keltert,keltern,0_6,V;IND;PRS;2;PL,0_0,N;DAT;PL,,,UNK_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR
entsetzet,entsetzten,0_9,V;SBJV;PRS;2;PL,0_11,V;SBJV;PST;3;PL,verb;prs;p2;pl,verb;pp - verb;pii;p1;pl - verb;pii;p3;pl - verb;pis;p1;pl - verb;pis;p3;pl - adj;sint;m;sg;gen;st - adj;sint;m;sg;gen;sw - adj;sint;m;sg;gen;mix - adj;sint;m;sg;dat;sw - adj;sint;m;sg;dat;mix - adj;sint;m;sg;acc;st - adj;sint;m;sg;acc;sw - adj;sint;m;sg;acc;mix - adj;sint;m;pl;nom;sw - adj;sint;m;pl;nom;mix - adj;sint;m;pl;gen;sw - adj;sint;m;pl;gen;mix - adj;sint;m;pl;dat;st - adj;sint;m;pl;dat;sw - adj;sint;m;pl;dat;mix - adj;sint;m;pl;acc;sw - adj;sint;m;pl;acc;mix - adj;sint;nt;sg;gen;st - adj;sint;nt;sg;gen;sw - adj;sint;nt;sg;gen;mix - adj;sint;nt;sg;dat;sw - adj;sint;nt;sg;dat;mix - adj;sint;nt;pl;nom;sw - adj;sint;nt;pl;nom;mix - adj;sint;nt;pl;gen;sw - adj;sint;nt;pl;gen;mix - adj;sint;nt;pl;dat;sw - adj;sint;nt;pl;dat;mix - adj;sint;nt;pl;acc;sw - adj;sint;nt;pl;acc;mix - adj;sint;f;sg;gen;sw - adj;sint;f;sg;gen;mix - adj;sint;f;sg;dat;sw - adj;sint;f;sg;dat;mix - adj;sint;f;pl;nom;sw - adj;sint;f;pl;nom;mix - adj;sint;f;pl;gen;sw - adj;sint;f;pl;gen;mix - adj;sint;f;pl;dat;st - adj;sint;f;pl;dat;sw - adj;sint;f;pl;dat;mix - adj;sint;f;pl;acc;sw - adj;sint;f;pl;acc;mix,C
dürft,dürfen,0_6,V;IND;PRS;2;PL,0_0,N;DAT;PL,verb;pri;p2;pl,verb;inf - verb;pri;p1;pl - verb;pri;p3;pl - verb;prs;p1;pl - verb;prs;p3;pl,ERR_TGT_SLOT_ERROR
Raub,Raube,0_12,N;NOM;SG,0_3,V;SBJV;PRS;1;SG,n;m;sg;nom - n;m;sg;dat - n;m;sg;acc - n;m;sg;cmp;compound-only-L - n;m;sg;nom;lower - n;m;sg;dat;lower - n;m;sg;acc;lower - verb;imp;sg - n;m;sg;nom;lower;compound-R - n;m;sg;dat;lower;compound-R - n;m;sg;acc;lower;compound-R - n;m;sg;lower;cmp;compound-only-L,n;m;sg;dat - n;m;pl;nom - n;m;pl;gen - n;m;pl;acc - n;m;sg;dat;lower - n;m;pl;nom;lower - n;m;pl;gen;lower - n;m;pl;acc;lower - verb;pri;p1;sg - verb;prs;p1;sg - verb;prs;p3;sg - n;m;sg;dat;lower;compound-R - n;m;pl;nom;lower;compound-R - n;m;pl;gen;lower;compound-R - n;m;pl;acc;lower;compound-R,ERR_SRC_SLOT_ERROR
sei,seist,0_12,N;NOM;SG,0_10,V;IND;PRS;2;SG,verb;imp;sg - verb;prs;p1;sg - verb;prs;p3;sg,verb;prs;p2;sg,SRC_SLOT_ERROR;TGT_SLOT_ERROR
demütige,demütigt,0_3,V;SBJV;PRS;1;SG,0_6,V;IND;PRS;2;PL,verb;pri;p1;sg - verb;prs;p1;sg - verb;prs;p3;sg - adj;sint;m;sg;nom;sw - adj;sint;m;pl;nom;st - adj;sint;m;pl;acc;st - adj;sint;f;sg;nom;st - adj;sint;f;sg;nom;sw - adj;sint;f;sg;nom;mix - adj;sint;f;sg;acc;st - adj;sint;f;sg;acc;sw - adj;sint;f;sg;acc;mix - adj;sint;f;pl;nom;st - adj;sint;f;pl;acc;st - adj;sint;nt;sg;nom;sw - adj;sint;nt;sg;acc;sw,verb;imp;pl - verb;pri;p2;pl - verb;pri;p3;sg,ERR_TGT_SLOT_ERROR
freche,frechen,0_3,V;SBJV;PRS;1;SG,0_0,N;DAT;PL,adj;sint;m;sg;nom;sw - adj;sint;m;pl;nom;st - adj;sint;m;pl;acc;st - adj;sint;f;sg;nom;st - adj;sint;f;sg;nom;sw - adj;sint;f;sg;nom;mix - adj;sint;f;sg;acc;st - adj;sint;f;sg;acc;sw - adj;sint;f;sg;acc;mix - adj;sint;f;pl;nom;st - adj;sint;f;pl;acc;st - adj;sint;nt;sg;nom;sw - adj;sint;nt;sg;acc;sw,adj;sint;m;sg;gen;st - adj;sint;m;sg;gen;sw - adj;sint;m;sg;gen;mix - adj;sint;m;sg;dat;sw - adj;sint;m;sg;dat;mix - adj;sint;m;sg;acc;st - adj;sint;m;sg;acc;sw - adj;sint;m;sg;acc;mix - adj;sint;m;pl;nom;sw - adj;sint;m;pl;nom;mix - adj;sint;m;pl;gen;sw - adj;sint;m;pl;gen;mix - adj;sint;m;pl;dat;st - adj;sint;m;pl;dat;sw - adj;sint;m;pl;dat;mix - adj;sint;m;pl;acc;sw - adj;sint;m;pl;acc;mix - adj;sint;nt;sg;gen;st - adj;sint;nt;sg;gen;sw - adj;sint;nt;sg;gen;mix - adj;sint;nt;sg;dat;sw - adj;sint;nt;sg;dat;mix - adj;sint;nt;pl;nom;sw - adj;sint;nt;pl;nom;mix - adj;sint;nt;pl;gen;sw - adj;sint;nt;pl;gen;mix - adj;sint;nt;pl;dat;sw - adj;sint;nt;pl;dat;mix - adj;sint;nt;pl;acc;sw - adj;sint;nt;pl;acc;mix - adj;sint;f;sg;gen;sw - adj;sint;f;sg;gen;mix - adj;sint;f;sg;dat;sw - adj;sint;f;sg;dat;mix - adj;sint;f;pl;nom;sw - adj;sint;f;pl;nom;mix - adj;sint;f;pl;gen;sw - adj;sint;f;pl;gen;mix - adj;sint;f;pl;dat;st - adj;sint;f;pl;dat;sw - adj;sint;f;pl;dat;mix - adj;sint;f;pl;acc;sw - adj;sint;f;pl;acc;mix,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
wärst,wäre,0_10,V;IND;PRS;2;SG,0_3,V;SBJV;PRS;1;SG,verb;pis;p2;sg,verb;pis;p1;sg - verb;pis;p3;sg,SRC_SLOT_ERROR;TGT_SLOT_ERROR
demütigen,demütigte,0_0,N;DAT;PL,0_4,V;SBJV;PST;1;SG,verb;inf - verb;ger;nom - verb;ger;dat - verb;ger;acc - adj;sint;m;sg;gen;st - adj;sint;m;sg;gen;sw - adj;sint;m;sg;gen;mix - adj;sint;m;sg;dat;sw - adj;sint;m;sg;dat;mix - adj;sint;m;sg;acc;st - adj;sint;m;sg;acc;sw - adj;sint;m;sg;acc;mix - adj;sint;m;pl;nom;sw - adj;sint;m;pl;nom;mix - adj;sint;m;pl;gen;sw - adj;sint;m;pl;gen;mix - adj;sint;m;pl;dat;st - adj;sint;m;pl;dat;sw - adj;sint;m;pl;dat;mix - adj;sint;m;pl;acc;sw - adj;sint;m;pl;acc;mix - adj;sint;nt;sg;gen;st - adj;sint;nt;sg;gen;sw - adj;sint;nt;sg;gen;mix - adj;sint;nt;sg;dat;sw - adj;sint;nt;sg;dat;mix - adj;sint;nt;pl;nom;sw - adj;sint;nt;pl;nom;mix - adj;sint;nt;pl;gen;sw - adj;sint;nt;pl;gen;mix - adj;sint;nt;pl;dat;sw - adj;sint;nt;pl;dat;mix - adj;sint;nt;pl;acc;sw - adj;sint;nt;pl;acc;mix - adj;sint;f;sg;gen;sw - adj;sint;f;sg;gen;mix - adj;sint;f;sg;dat;sw - adj;sint;f;sg;dat;mix - adj;sint;f;pl;nom;sw - adj;sint;f;pl;nom;mix - adj;sint;f;pl;gen;sw - adj;sint;f;pl;gen;mix - adj;sint;f;pl;dat;st - adj;sint;f;pl;dat;sw - adj;sint;f;pl;dat;mix - adj;sint;f;pl;acc;sw - adj;sint;f;pl;acc;mix - verb;pri;p1;pl - verb;pri;p3;pl - verb;prs;p1;pl - verb;prs;p3;pl,verb;pii;p1;sg - verb;pii;p3;sg - verb;pis;p1;sg - verb;pis;p3;sg,ERR_SRC_SLOT_ERROR
austraten,austrat,0_0,N;DAT;PL,0_12,N;NOM;SG,verb;sep;fs;pii;p1;pl - verb;sep;fs;pii;p3;pl,verb;sep;fs;pii;p1;sg - verb;sep;fs;pii;p3;sg,ERR_TGT_SLOT_ERROR
Gebots,Gebote,0_1,N;SG;COMPOUND,0_3,V;SBJV;PRS;1;SG,n;nt;sg;gen - n;nt;sg;cmp;compound-only-L - n;nt;sg;gen;lower - n;nt;sg;gen;lower;compound-R - n;nt;sg;lower;cmp;compound-only-L,n;nt;sg;dat - n;nt;pl;nom - n;nt;pl;gen - n;nt;pl;acc - n;nt;sg;dat;lower - n;nt;pl;nom;lower - n;nt;pl;gen;lower - n;nt;pl;acc;lower - n;nt;sg;dat;lower;compound-R - n;nt;pl;nom;lower;compound-R - n;nt;pl;gen;lower;compound-R - n;nt;pl;acc;lower;compound-R,TGT_SLOT_ERROR
jemandes,jemand,0_8,ADJ;ACC;SG,0_12,N;NOM;SG,prn;ind;m;sg;gen - prn;ind;f;sg;gen,prn;ind;m;sg;nom - prn;ind;f;sg;nom,SRC_SLOT_ERROR;TGT_SLOT_ERROR
Steig,Steiget,0_12,N;NOM;SG,0_9,V;SBJV;PRS;2;PL,n;m;sg;nom - n;m;sg;dat - n;m;sg;acc - n;m;sg;cmp;compound-only-L - n;m;sg;nom;lower - n;m;sg;dat;lower - n;m;sg;acc;lower - verb;imp;sg - n;m;sg;nom;lower;compound-R - n;m;sg;dat;lower;compound-R - n;m;sg;acc;lower;compound-R - n;m;sg;lower;cmp;compound-only-L,verb;prs;p2;pl,ERR_SRC_SLOT_ERROR
antworten,antworte,0_0,N;DAT;PL,0_3,V;SBJV;PRS;1;SG,verb;inf - verb;ger;nom - verb;ger;dat - verb;ger;acc - n;f;pl;nom;lower - n;f;pl;gen;lower - n;f;pl;dat;lower - n;f;pl;acc;lower - verb;pri;p1;pl - verb;pri;p3;pl - verb;prs;p1;pl - verb;prs;p3;pl - n;f;sg;lower;cmp;compound-only-L - n;f;pl;nom;lower;compound-R - n;f;pl;gen;lower;compound-R - n;f;pl;dat;lower;compound-R - n;f;pl;acc;lower;compound-R,verb;imp;sg - verb;pri;p1;sg - verb;prs;p1;sg - verb;prs;p3;sg,ERR_TGT_SLOT_ERROR
nimm,nimmst,0_12,N;NOM;SG,0_10,V;IND;PRS;2;SG,verb;imp;sg,verb;pri;p2;sg,ERR_SRC_SLOT_ERROR
neu,neuer,0_12,N;NOM;SG,0_5,ADJ;GEN;SG,adj;sint - adj;sint;attr - adj;sint;pred,adj;sint;comp;attr - adj;sint;comp;pred - adj;sint;m;sg;nom;st - adj;sint;m;sg;nom;mix - adj;sint;m;pl;gen;st - adj;sint;f;sg;gen;st - adj;sint;f;sg;dat;st - adj;sint;f;pl;gen;st - verb;imp;sg,ERR_SRC_SLOT_ERROR
wüst,wüstes,0_12,N;NOM;SG,0_8,ADJ;ACC;SG,adj;sint - adj;sint;attr - adj;sint;pred,adj;sint;nt;sg;nom;st - adj;sint;nt;sg;nom;mix - adj;sint;nt;sg;acc;st - adj;sint;nt;sg;acc;mix,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
Mizpe,Mizpe,0_3,V;SBJV;PRS;1;SG,0_3,V;SBJV;PRS;1;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
hingehet,hingeht,0_9,V;SBJV;PRS;2;PL,0_6,V;IND;PRS;2;PL,verb;sep;fs;prs;p2;pl,verb;sep;fs;pri;p2;pl - verb;sep;fs;pri;p3;sg,C
fremden,fremdem,0_0,N;DAT;PL,0_7,ADJ;DAT;SG,adj;sint;m;sg;gen;st - adj;sint;m;sg;gen;sw - adj;sint;m;sg;gen;mix - adj;sint;m;sg;dat;sw - adj;sint;m;sg;dat;mix - adj;sint;m;sg;acc;st - adj;sint;m;sg;acc;sw - adj;sint;m;sg;acc;mix - adj;sint;m;pl;nom;sw - adj;sint;m;pl;nom;mix - adj;sint;m;pl;gen;sw - adj;sint;m;pl;gen;mix - adj;sint;m;pl;dat;st - adj;sint;m;pl;dat;sw - adj;sint;m;pl;dat;mix - adj;sint;m;pl;acc;sw - adj;sint;m;pl;acc;mix - adj;sint;nt;sg;gen;st - adj;sint;nt;sg;gen;sw - adj;sint;nt;sg;gen;mix - adj;sint;nt;sg;dat;sw - adj;sint;nt;sg;dat;mix - adj;sint;nt;pl;nom;sw - adj;sint;nt;pl;nom;mix - adj;sint;nt;pl;gen;sw - adj;sint;nt;pl;gen;mix - adj;sint;nt;pl;dat;sw - adj;sint;nt;pl;dat;mix - adj;sint;nt;pl;acc;sw - adj;sint;nt;pl;acc;mix - adj;sint;f;sg;gen;sw - adj;sint;f;sg;gen;mix - adj;sint;f;sg;dat;sw - adj;sint;f;sg;dat;mix - adj;sint;f;pl;nom;sw - adj;sint;f;pl;nom;mix - adj;sint;f;pl;gen;sw - adj;sint;f;pl;gen;mix - adj;sint;f;pl;dat;st - adj;sint;f;pl;dat;sw - adj;sint;f;pl;dat;mix - adj;sint;f;pl;acc;sw - adj;sint;f;pl;acc;mix - n;f;pl;nom;lower - n;f;pl;gen;lower - n;f;pl;dat;lower - n;f;pl;acc;lower - n;m;sg;gen;lower - n;m;sg;acc;lower - n;m;pl;nom;lower - n;m;pl;gen;lower - n;m;pl;dat;lower - n;m;pl;acc;lower - n;f;sg;lower;cmp;compound-only-L - n;f;pl;nom;lower;compound-R - n;f;pl;gen;lower;compound-R - n;f;pl;dat;lower;compound-R - n;f;pl;acc;lower;compound-R - n;m;sg;gen;lower;compound-R - n;m;sg;acc;lower;compound-R - n;m;sg;lower;cmp;compound-only-L - n;m;pl;nom;lower;compound-R - n;m;pl;gen;lower;compound-R - n;m;pl;dat;lower;compound-R - n;m;pl;acc;lower;compound-R,adj;sint;m;sg;dat;st - adj;sint;nt;sg;dat;st - n;m;sg;dat;lower - n;m;sg;dat;lower;compound-R,MAPPED_POS_PAIR_ERROR
