src word,tgt word,src slot,src msd,tgt slot,tgt msd,src apertium tags,tgt apertium tags,annotation
расположили,расположен,0_0,V;PST;PL,0_24,V.PTCP;PASS;PST,verb;perf;tv;past;mfn;pl - verb;perf;iv;past;mfn;pl,verb;perf;tv;pp;pasv;short;m;sg - adj;sint;short;m;sg,MAPPED_POS_PAIR_ERROR
снедение,снедает,0_7,PRN;INS;PL,0_14,PRN;DAT;2;SG,,,UNK_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR
камням,камней,1_11,NUM;PL,1_18,DET;DAT;SG,n;f;nn;pl;dat - n;m;nn;pl;dat - n;f;aa;pl;dat,n;f;nn;sg;ins - n;m;nn;pl;gen - n;f;aa;sg;ins,SRC_SLOT_ERROR;TGT_SLOT_ERROR
сверкают,сверкали,1_0,V;FUT;3;PL,1_6,V.CVB,verb;impf;iv;pres;p3;pl,verb;impf;iv;past;mfn;pl,ERR_SRC_SLOT_ERROR
полу,полу,0_23,V;FUT;1;SG,0_23,V;FUT;1;SG,n;m;nn;sg;dat - n;f;nn;sg;acc - n;m;nn;sg;dat - n;m;nn;sg;loc,n;m;nn;sg;dat - n;f;nn;sg;acc - n;m;nn;sg;dat - n;m;nn;sg;loc,SRC_SLOT_ERROR;TGT_SLOT_ERROR
ослабевайте,ослабевал,1_5,V;IMP;2;PL,1_4,ADJ;MASC;SG;LGSPEC1,verb;impf;iv;imp;p2;pl,verb;impf;iv;past;m;sg,ERR_TGT_SLOT_ERROR
умножает,умножил,0_14,PRN;DAT;2;SG,0_4,PRN;NOM;3;SG,verb;impf;tv;pres;p3;sg - verb;impf;iv;pres;p3;sg,verb;perf;tv;past;m;sg - verb;perf;iv;past;m;sg,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
отвращает,отвращу,0_14,PRN;DAT;2;SG,0_23,V;FUT;1;SG,verb;impf;tv;pres;p3;sg - verb;impf;iv;pres;p3;sg,verb;perf;tv;fut;p1;sg - verb;perf;iv;fut;p1;sg,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
живую,живое,2_13,ADJ;ACC;FEM;SG,2_15,ADJ;NOM;NEUT;SG,adj;sint;f;an;sg;acc,adj;sint;nt;an;sg;nom - adj;sint;nt;an;sg;acc,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
войском,войском,2_14,N;INS;SG,2_14,N;INS;SG,n;nt;nn;sg;ins,n;nt;nn;sg;ins,C
Листры,Листру,2_3,N;NOM;PL,2_19,N;DAT;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
спроси,спросите,0_1,V;IMP;2;SG,0_6,V;FUT;2;PL,verb;perf;tv;imp;p2;sg - verb;perf;iv;imp;p2;sg,verb;perf;tv;fut;p2;pl - verb;perf;tv;imp;p2;pl - verb;perf;iv;fut;p2;pl - verb;perf;iv;imp;p2;pl,C
Каафу,Каафов,2_19,N;DAT;SG,2_1,N;GEN;PL,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
служба,служба,2_6,N;GEN;SG,2_6,N;GEN;SG,n;f;nn;sg;nom,n;f;nn;sg;nom,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
Гивы,Гиве,2_3,N;NOM;PL,2_0,N;ESS;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
приготовим,приготовят,0_17,V;IMP;1;PL,0_29,V;PRS;3;PL,verb;perf;tv;fut;p1;pl - verb;perf;tv;imp;p1;pl - verb;perf;iv;fut;p1;pl - verb;perf;iv;imp;p1;pl,verb;perf;tv;fut;p3;pl - verb;perf;iv;fut;p3;pl,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
кропить,кропили,0_31,V;NFIN,0_0,V;PST;PL,verb;impf;tv;inf - verb;impf;iv;inf,verb;impf;tv;past;mfn;pl - verb;impf;iv;past;mfn;pl,C
буйвола,буйвол,2_6,N;GEN;SG,2_18,N;NOM;SG,n;m;aa;sg;gen - n;m;aa;sg;acc,n;m;aa;sg;nom,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
первородных,первородный,0_19,ADJ;ESS;PL,0_12,ADJ;NOM;MASC;SG,adj;sint;mfn;an;pl;gen - adj;sint;mfn;an;pl;prp - adj;sint;mfn;aa;pl;acc,adj;sint;m;an;sg;nom - adj;sint;m;nn;sg;acc,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
обложен,обложил,0_24,V.PTCP;PASS;PST,0_4,PRN;NOM;3;SG,verb;perf;tv;pp;pasv;short;m;sg,verb;perf;tv;past;m;sg - verb;perf;iv;past;m;sg,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
желаете,желал,1_19,V;PRS;2;PL,1_4,ADJ;MASC;SG;LGSPEC1,verb;impf;tv;pres;p2;pl - verb;impf;iv;pres;p2;pl,verb;impf;tv;past;m;sg - verb;impf;iv;past;m;sg,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
лукавые,лукавое,2_8,ADJ;ACC;PL,2_15,ADJ;NOM;NEUT;SG,n;m;aa;pl;nom - adj;sint;mfn;an;pl;nom - adj;sint;mfn;nn;pl;acc,adj;sint;nt;an;sg;nom - adj;sint;nt;an;sg;acc,ERR_TGT_SLOT_ERROR
свята,святой,2_6,N;GEN;SG,2_2,ADJ;ESS;FEM;SG,adj;sint;short;f;sg,n;f;aa;sg;ins - n;f;aa;sg;gen - n;f;aa;sg;dat - n;f;aa;sg;prp - n;m;aa;sg;nom - n;f;nn;sg;ins - n;f;nn;sg;gen - n;f;nn;sg;dat - n;f;nn;sg;prp - adj;sint;f;an;sg;gen - adj;sint;f;an;sg;dat - adj;sint;f;an;sg;prp - adj;sint;f;an;sg;ins - adj;sint;m;an;sg;nom - adj;sint;m;nn;sg;acc,ERR_SRC_SLOT_ERROR
огорчать,огорчении,0_22,DET;PL,0_5,PRN;PL,verb;impf;tv;inf - verb;impf;iv;inf,n;nt;nn;sg;prp,POS_PAIR_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
делали,делит,0_0,V;PST;PL,0_16,V;FUT;3;SG,verb;impf;tv;past;mfn;pl - verb;impf;iv;past;mfn;pl,verb;impf;tv;pres;p3;sg - verb;impf;iv;pres;p3;sg,ERR_TGT_SLOT_ERROR
поверят,поверил,0_29,V;PRS;3;PL,0_4,PRN;NOM;3;SG,verb;perf;tv;fut;p3;pl - verb;perf;iv;fut;p3;pl,verb;perf;tv;past;m;sg - verb;perf;iv;past;m;sg,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
порочный,порочные,0_12,ADJ;NOM;MASC;SG,0_21,ADJ;NOM;PL,adj;sint;m;an;sg;nom - adj;sint;m;nn;sg;acc,adj;sint;mfn;an;pl;nom - adj;sint;mfn;nn;pl;acc,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
кресту,крестить,0_23,V;FUT;1;SG,0_31,V;NFIN,n;m;nn;sg;dat,verb;perf;tv;inf - verb;perf;iv;inf - verb;impf;tv;inf - verb;impf;iv;inf,ERR_SRC_SLOT_ERROR
переходи,переходишь,0_1,V;IMP;2;SG,0_15,V;FUT;2;SG,verb;perf;iv;imp;p2;sg - verb;impf;tv;imp;p2;sg - verb;impf;iv;imp;p2;sg,verb;perf;iv;fut;p2;sg - verb;impf;tv;pres;p2;sg - verb;impf;iv;pres;p2;sg,C
покорные,покориться,0_21,ADJ;NOM;PL,0_20,PRN;2;SG,adj;sint;mfn;an;pl;nom - adj;sint;mfn;nn;pl;acc,verb;perf;iv;inf,ERR_SRC_SLOT_ERROR
исполняющий,исполняй,1_21,V.PTCP;ACT;PRS,1_1,N;ACC;SG,verb;impf;tv;pprs;actv;m;an;sg;nom - verb;impf;tv;pprs;actv;m;nn;sg;acc - verb;impf;iv;pprs;actv;m;an;sg;nom - verb;impf;iv;pprs;actv;m;nn;sg;acc,verb;impf;tv;imp;p2;sg - verb;impf;iv;imp;p2;sg,ERR_SRC_SLOT_ERROR
взывать,взывай,1_14,ADJ;GEN;FEM;SG,1_1,N;ACC;SG,verb;impf;iv;inf,verb;impf;iv;imp;p2;sg,ERR_TGT_SLOT_ERROR
властей,властей,1_18,DET;DAT;SG,1_18,DET;DAT;SG,n;f;nn;pl;gen - n;f;nn;pl;gen,n;f;nn;pl;gen - n;f;nn;pl;gen,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
отступите,отступи,0_6,V;FUT;2;PL,0_1,V;IMP;2;SG,verb;perf;iv;fut;p2;pl - verb;perf;iv;imp;p2;pl,verb;perf;iv;imp;p2;sg,ERR_TGT_SLOT_ERROR
томиться,томил,0_20,PRN;2;SG,0_4,PRN;NOM;3;SG,verb;impf;tv;inf;pass - verb;impf;iv;inf,verb;impf;tv;past;m;sg - verb;impf;iv;past;m;sg,ERR_TGT_SLOT_ERROR
полевой,полевым,2_2,ADJ;ESS;FEM;SG,2_16,ADJ;INS;MASC;SG,adj;sint;f;an;sg;gen - adj;sint;f;an;sg;dat - adj;sint;f;an;sg;prp - adj;sint;f;an;sg;ins - adj;sint;m;an;sg;nom - adj;sint;m;nn;sg;acc,adj;sint;m;an;sg;ins - adj;sint;nt;an;sg;ins - adj;sint;mfn;an;pl;dat,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
святого,святой,2_7,ADJ;GEN;MASC;SG,2_2,ADJ;ESS;FEM;SG,n;m;aa;sg;acc - n;m;aa;sg;gen - adj;sint;nt;an;sg;gen - adj;sint;m;an;sg;gen - adj;sint;m;aa;sg;acc,n;f;aa;sg;ins - n;f;aa;sg;gen - n;f;aa;sg;dat - n;f;aa;sg;prp - n;m;aa;sg;nom - n;f;nn;sg;ins - n;f;nn;sg;gen - n;f;nn;sg;dat - n;f;nn;sg;prp - adj;sint;f;an;sg;gen - adj;sint;f;an;sg;dat - adj;sint;f;an;sg;prp - adj;sint;f;an;sg;ins - adj;sint;m;an;sg;nom - adj;sint;m;nn;sg;acc,C
золотую,золотою,2_13,ADJ;ACC;FEM;SG,2_4,ADJ;INS;FEM;SG,adj;sint;f;an;sg;acc,adj;sint;f;an;sg;ins,ERR_SRC_SLOT_ERROR
литься,лились,0_20,PRN;2;SG,0_25,PRN;DAT;SG,verb;impf;tv;inf;pass - verb;impf;iv;inf,verb;impf;iv;past;mfn;pl - verb;impf;tv;past;mfn;pl;pass,SRC_SLOT_ERROR;TGT_SLOT_ERROR
доходила,доходили,0_9,V;PST;SG;FEM,0_0,V;PST;PL,verb;perf;iv;past;f;sg - verb;impf;iv;past;f;sg,verb;perf;iv;past;mfn;pl - verb;impf;iv;past;mfn;pl,C
безумным,безумен,0_28,ADJ;INS;NEUT;SG,0_24,V.PTCP;PASS;PST,n;f;aa;pl;dat - adj;sint;m;an;sg;ins - adj;sint;nt;an;sg;ins - adj;sint;mfn;an;pl;dat,adj;sint;short;m;sg,ERR_TGT_SLOT_ERROR
Емафе,Емафу,2_0,N;ESS;SG,2_19,N;DAT;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
Небеса,Небесное,0_13,PRN;NOM;SG,0_3,ADJ;ACC;NEUT;SG,n;nt;nn;pl;acc - n;nt;nn;pl;nom - n;nt;nn;pl;nom - n;nt;nn;pl;acc,adj;sint;nt;an;sg;nom - adj;sint;nt;an;sg;acc,ERR_TGT_SLOT_ERROR
называющий,называть,1_21,V.PTCP;ACT;PRS,1_14,ADJ;GEN;FEM;SG,verb;impf;tv;pprs;actv;m;an;sg;nom - verb;impf;tv;pprs;actv;m;nn;sg;acc - verb;impf;iv;pprs;actv;m;an;sg;nom - verb;impf;iv;pprs;actv;m;nn;sg;acc,verb;impf;tv;inf - verb;impf;iv;inf,ERR_SRC_SLOT_ERROR
Иецера,Иецер,2_6,N;GEN;SG,2_18,N;NOM;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
знатного,знатных,2_7,ADJ;GEN;MASC;SG,2_1,N;GEN;PL,adj;sint;nt;an;sg;gen - adj;sint;m;an;sg;gen - adj;sint;m;aa;sg;acc,adj;sint;mfn;an;pl;gen - adj;sint;mfn;an;pl;prp - adj;sint;mfn;aa;pl;acc,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
островов,острове,2_1,N;GEN;PL,2_0,N;ESS;SG,n;m;nn;pl;gen,n;m;nn;sg;prp,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
умертвила,умертвили,0_9,V;PST;SG;FEM,0_0,V;PST;PL,verb;perf;tv;past;f;sg - verb;perf;iv;past;f;sg,verb;perf;tv;past;mfn;pl - verb;perf;iv;past;mfn;pl,C
красивая,красивым,2_9,ADJ;NOM;FEM;SG,2_16,ADJ;INS;MASC;SG,adj;sint;f;an;sg;nom,adj;sint;m;an;sg;ins - adj;sint;nt;an;sg;ins - adj;sint;mfn;an;pl;dat,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
одолев,одолев,0_26,PRN;INS;3;SG,0_26,PRN;INS;3;SG,verb;perf;tv;pp;adv - verb;perf;iv;pp;adv,verb;perf;tv;pp;adv - verb;perf;iv;pp;adv,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
действуй,действуем,1_1,N;ACC;SG,1_13,V;PRS;1;PL,verb;impf;iv;imp;p2;sg,verb;impf;iv;pres;p1;pl,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
дорогую,дорогой,2_13,ADJ;ACC;FEM;SG,2_2,ADJ;ESS;FEM;SG,adj;sint;f;an;sg;acc,n;f;nn;sg;ins - adv; - adj;sint;f;an;sg;gen - adj;sint;f;an;sg;dat - adj;sint;f;an;sg;prp - adj;sint;f;an;sg;ins - adj;sint;m;an;sg;nom - adj;sint;m;nn;sg;acc,ERR_SRC_SLOT_ERROR
пронесется,пронес,1_12,PRN;NOM;2;SG,1_1,N;ACC;SG,verb;perf;iv;fut;p3;sg,verb;perf;tv;past;m;sg - verb;perf;iv;past;m;sg,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
восемнадцатым,восемнадцати,2_16,ADJ;INS;MASC;SG,2_3,N;NOM;PL,det;ord;nt;an;sg;ins - det;ord;m;an;sg;ins - det;ord;mfn;an;pl;dat,num;mfn;pl;gen - num;mfn;pl;dat - num;mfn;pl;prp,ERR_SRC_SLOT_ERROR
обоняют,обонял,1_0,V;FUT;3;PL,1_4,ADJ;MASC;SG;LGSPEC1,verb;impf;tv;pres;p3;pl - verb;impf;iv;pres;p3;pl,verb;impf;tv;past;m;sg - verb;impf;iv;past;m;sg,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
убийцу,убийца,2_19,N;DAT;SG,2_6,N;GEN;SG,n;m;aa;sg;acc - n;f;aa;sg;acc,n;m;aa;sg;nom - n;f;aa;sg;nom,SRC_SLOT_ERROR;TGT_SLOT_ERROR
поставили,поставится,0_0,V;PST;PL,0_8,PRN;DAT;3;SG,,,UNK_TGT_SLOT_ERROR;TGT_LEXICAL_ERROR
вина,вином,2_6,N;GEN;SG,2_14,N;INS;SG,n;f;nn;sg;nom - n;nt;nn;sg;gen - n;nt;nn;pl;nom - n;nt;nn;pl;acc,n;nt;nn;sg;ins,C
обычаю,обычай,1_2,V;PRS;1;SG,1_1,N;ACC;SG,n;m;nn;sg;dat,n;m;nn;sg;nom - n;m;nn;sg;acc,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
письмом,письмами,2_14,N;INS;SG,2_17,N;INS;PL,n;nt;nn;sg;ins,n;nt;nn;pl;ins,ERR_TGT_SLOT_ERROR
козлах,козлом,2_10,N;ESS;PL,2_14,N;INS;SG,n;f;nn;pl;prp - n;m;aa;pl;prp - n;m;nn;pl;prp,n;m;aa;sg;ins - n;m;nn;sg;ins,C
умыслы,умысла,2_3,N;NOM;PL,2_6,N;GEN;SG,n;m;nn;pl;nom - n;m;nn;pl;acc,n;m;nn;sg;gen,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
обвинят,обвинить,0_29,V;PRS;3;PL,0_31,V;NFIN,verb;perf;tv;fut;p3;pl - verb;perf;iv;fut;p3;pl,verb;perf;tv;inf - verb;perf;iv;inf,ERR_SRC_SLOT_ERROR
укрепит,укрепи,0_16,V;FUT;3;SG,0_1,V;IMP;2;SG,verb;perf;tv;fut;p3;sg - verb;perf;iv;fut;p3;sg,verb;perf;tv;imp;p2;sg - verb;perf;iv;imp;p2;sg,ERR_SRC_SLOT_ERROR
необрезан,необрезанным,0_26,PRN;INS;3;SG,0_28,ADJ;INS;NEUT;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
срамит,срамное,0_16,V;FUT;3;SG,0_3,ADJ;ACC;NEUT;SG,verb;impf;tv;pres;p3;sg - verb;impf;iv;pres;p3;sg,adj;sint;nt;an;sg;nom - adj;sint;nt;an;sg;acc,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
горестями,горесть,1_7,NUM;ACC;SG,1_1,N;ACC;SG,n;f;nn;pl;ins,n;f;nn;sg;nom - n;f;nn;sg;acc,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
грешный,грешных,0_12,ADJ;NOM;MASC;SG,0_19,ADJ;ESS;PL,adj;sint;m;an;sg;nom - adj;sint;m;nn;sg;acc,adj;sint;mfn;an;pl;gen - adj;sint;mfn;an;pl;prp - adj;sint;mfn;aa;pl;acc,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
успокаивает,успокаивается,1_3,V;PRS;3;SG,1_12,PRN;NOM;2;SG,verb;impf;tv;pres;p3;sg - verb;impf;iv;pres;p3;sg,verb;impf;iv;pres;p3;sg - verb;impf;tv;pres;p3;sg;pass,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
кидар,кидары,2_18,N;NOM;SG,2_3,N;NOM;PL,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
необычайно,необычайное,2_18,N;NOM;SG,2_0,N;ESS;SG,adj;sint;cmp - adj;sint;short;nt;sg,adj;sint;nt;an;sg;nom - adj;sint;nt;an;sg;acc,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
удержишь,удержится,0_15,V;FUT;2;SG,0_8,PRN;DAT;3;SG,verb;perf;tv;fut;p2;sg - verb;perf;iv;fut;p2;sg,verb;perf;iv;fut;p3;sg,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
заключен,заключал,0_24,V.PTCP;PASS;PST,0_4,PRN;NOM;3;SG,adj;sint;short;m;sg - verb;perf;tv;pp;pasv;short;m;sg,verb;impf;tv;past;m;sg - verb;impf;iv;past;m;sg,ERR_TGT_SLOT_ERROR
местах,месту,2_10,N;ESS;PL,2_19,N;DAT;SG,n;nt;nn;pl;prp,n;nt;nn;sg;dat,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
Новах,Новах,2_10,N;ESS;PL,2_10,N;ESS;PL,n;f;nn;pl;prp,n;f;nn;pl;prp,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
вдову,вдовою,2_19,N;DAT;SG,2_4,ADJ;INS;FEM;SG,n;f;aa;sg;acc,n;f;aa;sg;ins - adj;sint;f;an;sg;ins,ERR_SRC_SLOT_ERROR
пасхальных,пасхального,2_1,N;GEN;PL,2_7,ADJ;GEN;MASC;SG,adj;sint;mfn;an;pl;gen - adj;sint;mfn;an;pl;prp - adj;sint;mfn;aa;pl;acc,adj;sint;nt;an;sg;gen - adj;sint;m;an;sg;gen - adj;sint;m;aa;sg;acc,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
отправили,отправился,0_0,V;PST;PL,0_18,V;PST;SG;MASC,verb;perf;tv;past;mfn;pl - verb;perf;iv;past;mfn;pl,verb;perf;iv;past;m;sg,PARADIGM_ERROR
зимою,зима,2_4,ADJ;INS;FEM;SG,2_6,N;GEN;SG,n;f;nn;sg;ins,n;m;nn;sg;gen - n;f;nn;sg;nom,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
отверстое,отверсты,2_15,ADJ;NOM;NEUT;SG,2_3,N;NOM;PL,adj;sint;nt;an;sg;nom - adj;sint;nt;an;sg;acc,adj;sint;short;mfn;pl,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
беден,бед,0_24,V.PTCP;PASS;PST,0_26,PRN;INS;3;SG,adj;sint;short;m;sg,n;f;nn;pl;gen,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
внимания,внимающий,1_8,NUM;GEN;PL,1_21,V.PTCP;ACT;PRS,n;nt;nn;sg;gen - n;nt;nn;pl;nom - n;nt;nn;pl;acc,verb;impf;iv;pprs;actv;m;an;sg;nom - verb;impf;iv;pprs;actv;m;nn;sg;acc,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
расположи,расположились,0_1,V;IMP;2;SG,0_25,PRN;DAT;SG,verb;perf;tv;imp;p2;sg - verb;perf;iv;imp;p2;sg,verb;perf;iv;past;mfn;pl,PARADIGM_ERROR;TGT_SLOT_ERROR
