src word,tgt word,src slot,src predicted MSD,tgt slot,tgt predicted MSD,src apertium tags,tgt apertium tags,annotation
jakava,jakan,1_2,V.PTCP;ACT;PRS,1_3,V;ACT;PST;POS;IND;1;SG,,,UNK_TGT_SLOT_ERROR;TGT_LEXICAL_ERROR
suistukaa,suistuvat,1_22,V;ACT;PRS;POS;IMP;2;PL,1_16,V;ACT;PRS;POS;IND;3;PL,verb;actv;imp;p2;pl,verb;actv;pprs;pst;pl;nom - verb;actv;pri;p3;pl,C
metsän,metsänsä,0_0,V;ACT;PRS;POS;IND;1;SG,0_8,ADJ;GEADJ;SG,n;sg;gen,n;pl;nom;px3sp - n;sg;gen;px3sp - n;sg;nom;px3sp,ERR_SRC_SLOT_ERROR
ilonne,ilona,0_5,N;NOM;SG,0_14,ADJ;FRML;SG,n;pl;nom;px2pl - n;sg;gen;px2pl - n;sg;nom;px2pl,n;sg;ess,ERR_TGT_SLOT_ERROR
hurskaasta,hurskaaksi,0_17,N;IN+ABL;SG,0_2,ADJ;TRANS;SG,adj;pst;sg;ela - n;sg;ela,adj;pst;sg;tra - n;sg;tra,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
osuuden,osuudeksi,0_0,V;ACT;PRS;POS;IND;1;SG,0_2,ADJ;TRANS;SG,n;sg;gen,n;sg;tra,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
kukkulaan,kukkulasta,0_9,N;IN+ALL;SG,0_17,N;IN+ABL;SG,n;sg;ill,n;sg;ela,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
profeetan,profeetalta,0_0,V;ACT;PRS;POS;IND;1;SG,0_11,N;AT+ABL;SG,n;sg;gen,n;sg;abl,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
voinut,voivat,1_7,V;ACT;PST;POS;IND;SG,1_16,V;ACT;PRS;POS;IND;3;PL,vaux;actv;past;sg;conneg - vaux;actv;pp;pst;sg;nom - verb;actv;past;sg;conneg - verb;actv;pp;pst;sg;nom - adj;pst;sg;nom,adj;pst;pl;nom - vaux;actv;pprs;pst;pl;nom - vaux;actv;pri;p3;pl - vaux;actv;past;p3;pl - verb;actv;pprs;pst;pl;nom - verb;actv;pri;p3;pl - verb;actv;past;p3;pl - adj;pst;pl;nom,C
abimelek,abimelekin,1_11,V;ACT;PRS;POS;IND,1_3,V;ACT;PST;POS;IND;1;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR
sukukunnalta,sukukunnat,0_11,N;AT+ABL;SG,0_13,ADJ;NOM;PL,n;sg;abl,n;pl;nom,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
joutuu,joutuva,1_0,V;ACT;PRS;POS;IND;3;SG,1_2,V.PTCP;ACT;PRS,vaux;actv;pri;p3;sg - verb;actv;pri;p3;sg,vaux;actv;pprs;pst;sg;nom - verb;actv;pprs;pst;sg;nom - n;sg;nom,MAPPED_POS_PAIR_ERROR
synnytyskipuja,synnytyskipu,1_1,V;NFIN,1_11,V;ACT;PRS;POS;IND,n;pl;par,n;sg;nom,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
kuluttavassa,kuluttavan,0_7,N;IN+ESS;SG,0_0,V;ACT;PRS;POS;IND;1;SG,verb;pasv;pprs;pst;sg;ine - verb;actv;pprs;pst;sg;ine - adj;pst;sg;ine,verb;pasv;pprs;pst;sg;gen - verb;actv;pprs;pst;sg;gen - adj;pst;sg;gen,SRC_SLOT_ERROR;TGT_SLOT_ERROR
kokoontua,kokoontukoon,1_1,V;NFIN,1_17,V;ACT;PRS;POS;IMP;3;SG,verb;actv;infa;pl;lat - verb;actv;infa;sg;lat,verb;actv;imp;p3;sg,C
pelastut,pelastua,1_9,V;ACT;PRS;POS;IND;2;SG,1_1,V;NFIN,verb;actv;pri;p2;sg,verb;actv;infa;pl;lat - verb;actv;infa;sg;lat,C
tulevamme,tulevana,0_10,V;ACT;PRS;POS;IND;1;PL,0_14,ADJ;FRML;SG,adj;pst;pl;nom;px1pl - adj;pst;sg;gen;px1pl - adj;pst;sg;nom;px1pl - n;pl;nom;px1pl - n;sg;gen;px1pl - n;sg;nom;px1pl - verb;actv;pprs;pst;pl;nom;px1pl - verb;actv;pprs;pst;sg;gen;px1pl - verb;actv;pprs;pst;sg;nom;px1pl,adj;pst;sg;ess - n;sg;ess - verb;actv;pprs;pst;sg;ess,SRC_SLOT_ERROR
kovissa,koviin,0_7,N;IN+ESS;SG,0_15,N;GEN;PL,adj;pst;pl;ine - n;pl;ine,adj;pst;pl;ill - n;pl;ill,SRC_SLOT_ERROR;TGT_SLOT_ERROR
päätänne,päätänsä,0_5,N;NOM;SG,0_8,ADJ;GEADJ;SG,n;sg;par;px2pl,n;sg;par;px3sp,ERR_TGT_SLOT_ERROR
oppinut,oppineet,1_7,V;ACT;PST;POS;IND;SG,1_12,V.PTCP;ACT;PST,verb;actv;past;sg;conneg - verb;actv;pp;pst;sg;nom - adj;pst;sg;nom - n;sg;nom,verb;actv;past;pl;conneg - verb;actv;pp;pst;pl;nom - adj;pst;pl;nom - n;pl;nom,MAPPED_POS_PAIR_ERROR
herrasta,herraksi,0_17,N;IN+ABL;SG,0_2,ADJ;TRANS;SG,n;sg;ela - adj;pst;sg;par,n;sg;tra,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
anot,anoivat,1_9,V;ACT;PRS;POS;IND;2;SG,1_5,V;ACT;PST;POS;IND;3;PL,verb;actv;pri;p2;sg,verb;actv;past;p3;pl,C
puhdistautukaa,puhdistautua,1_22,V;ACT;PRS;POS;IMP;2;PL,1_1,V;NFIN,verb;actv;imp;p2;pl,verb;actv;infa;pl;lat - verb;actv;infa;sg;lat,C
valasi,valalla,0_19,V;ACT;PRS;POS;COND,0_18,N;AT+ESS;SG,n;pl;nom;px2sg - n;sg;gen;px2sg - n;sg;nom;px2sg,n;sg;ade,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
avoimeen,avoimeksi,0_0,V;ACT;PRS;POS;IND;1;SG,0_2,ADJ;TRANS;SG,adj;pst;sg;ill,adj;pst;sg;tra,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
vitsalla,vitsaa,0_18,N;AT+ESS;SG,0_3,N;PRT;SG,n;sg;ade,n;sg;par,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
siipiä,siipi,0_3,N;PRT;SG,0_1,ADJ;NOM;SG,n;pl;par,n;sg;nom,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
polttouhrit,polttouhrina,0_13,ADJ;NOM;PL,0_14,ADJ;FRML;SG,n;pl;nom,n;sg;ess,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
kuninkaansa,kuninkaanne,0_12,N;NOM;PL,0_5,N;NOM;SG,n;pl;nom;px3sp - n;sg;gen;px3sp - n;sg;nom;px3sp,n;pl;nom;px2pl - n;sg;gen;px2pl - n;sg;nom;px2pl,C
vartioimaan,vartioinut,1_18,V;IN+ALL;SG,1_7,V;ACT;PST;POS;IND;SG,verb;actv;infma;sg;ill - verb;agent;pst;sg;ill,verb;actv;past;sg;conneg - verb;actv;pp;pst;sg;nom,C
palvelijanne,palvelijamme,0_5,N;NOM;SG,0_10,V;ACT;PRS;POS;IND;1;PL,n;pl;nom;px2pl - n;sg;gen;px2pl - n;sg;nom;px2pl,n;pl;nom;px1pl - n;sg;gen;px1pl - n;sg;nom;px1pl,ERR_TGT_SLOT_ERROR
ara,aran,0_1,ADJ;NOM;SG,0_0,V;ACT;PRS;POS;IND;1;SG,n;sg;nom,n;sg;gen - adj;pst;sg;gen,ERR_SRC_SLOT_ERROR
harjoittako,harjoittavat,1_6,V;ACT;PRS;POS;IMP,1_16,V;ACT;PRS;POS;IND;3;PL,verb;actv;imp;conneg,verb;actv;pprs;pst;pl;nom - verb;actv;pri;p3;pl - adj;pst;pl;nom,C
assirin,assir,0_15,N;GEN;PL,0_1,ADJ;NOM;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
otsakoristeen,otsakoriste,0_0,V;ACT;PRS;POS;IND;1;SG,0_1,ADJ;NOM;SG,n;sg;gen,n;sg;nom,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
ihmislapsista,ihmislapsi,0_17,N;IN+ABL;SG,0_1,ADJ;NOM;SG,n;pl;ela,n;sg;nom,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
ojentava,ojentamaan,1_2,V.PTCP;ACT;PRS,1_18,V;IN+ALL;SG,verb;actv;pprs;pst;sg;nom - adj;pst;sg;nom,verb;actv;infma;sg;ill - verb;agent;pst;sg;ill,MAPPED_POS_PAIR_ERROR
raastavat,raastaen,1_16,V;ACT;PRS;POS;IND;3;PL,1_10,V;ACT;INS;SG,verb;actv;pprs;pst;pl;nom - verb;actv;pri;p3;pl - adj;pst;pl;nom,verb;actv;infe;sg;ins,C
kaupunkien,kaupunkiin,0_0,V;ACT;PRS;POS;IND;1;SG,0_15,N;GEN;PL,n;pl;gen,n;sg;ill,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
kasvaa,kasvaen,1_1,V;NFIN,1_10,V;ACT;INS;SG,verb;actv;infa;pl;lat - verb;actv;infa;sg;lat - verb;actv;pri;p3;sg,verb;actv;infe;sg;ins,C
vaimolasta,vaimolaan,0_17,N;IN+ABL;SG,0_9,N;IN+ALL;SG,,,ERR_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;TGT_LEXICAL_ERROR
rajasta,rajalle,0_17,N;IN+ABL;SG,0_6,N;AT+ALL;SG,n;sg;ela,n;sg;all,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
kutsuneet,kutsutte,1_12,V.PTCP;ACT;PST,1_23,V;ACT;PRS;POS;IND;2;PL,verb;actv;past;pl;conneg - verb;actv;pp;pst;pl;nom,verb;actv;pri;p2;pl,MAPPED_POS_PAIR_ERROR
uskokaa,uskonut,1_22,V;ACT;PRS;POS;IMP;2;PL,1_7,V;ACT;PST;POS;IND;SG,verb;actv;imp;p2;pl,verb;actv;past;sg;conneg - verb;actv;pp;pst;sg;nom,C
sanheribin,sanheribia,1_3,V;ACT;PST;POS;IND;1;SG,1_21,N;PRT;PL,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
vuodattaa,vuodattakoon,1_1,V;NFIN,1_17,V;ACT;PRS;POS;IMP;3;SG,verb;actv;infa;pl;lat - verb;actv;infa;sg;lat - verb;actv;pri;p3;sg,verb;actv;imp;p3;sg,C
mieltänne,mieltä,0_5,N;NOM;SG,0_1,ADJ;NOM;SG,n;sg;par;px2pl,n;sg;par,ERR_TGT_SLOT_ERROR
pyrkiessämme,pyrkiessäni,0_10,V;ACT;PRS;POS;IND;1;PL,0_16,N;GEN;SG,verb;actv;infe;sg;ine;px1pl,verb;actv;infe;sg;ine;px1sg,SRC_SLOT_ERROR;TGT_SLOT_ERROR
kovettuu,kovettui,1_0,V;ACT;PRS;POS;IND;3;SG,1_4,V;ACT;PST;POS;IND;3;SG,verb;actv;pri;p3;sg,verb;actv;past;p3;sg,C
pukekoot,pukenut,1_20,V;ACT;PRS;POS;IMP;3;PL,1_7,V;ACT;PST;POS;IND;SG,verb;actv;imp;p3;pl,verb;actv;past;sg;conneg - verb;actv;pp;pst;sg;nom,C
tapahtuu,tapahtuneet,1_0,V;ACT;PRS;POS;IND;3;SG,1_12,V.PTCP;ACT;PST,verb;actv;pri;p3;sg,verb;actv;past;pl;conneg - verb;actv;pp;pst;pl;nom - adj;pst;pl;nom,MAPPED_POS_PAIR_ERROR
joivat,joisi,1_5,V;ACT;PST;POS;IND;3;PL,1_13,V;ACT;PRS;POS;COND;3;SG,verb;actv;past;p3;pl,verb;actv;cni;conneg - verb;actv;cni;p3;sg,C
tappaja,tappakaa,1_1,V;NFIN,1_22,V;ACT;PRS;POS;IMP;2;PL,n;sg;nom,verb;actv;imp;p2;pl,ERR_SRC_SLOT_ERROR
palkkalaiselle,palkkalaiseni,0_6,N;AT+ALL;SG,0_16,N;GEN;SG,n;sg;all,n;pl;nom;px1sg - n;sg;gen;px1sg - n;sg;nom;px1sg,ERR_SRC_SLOT_ERROR
perinnön,perinnöt,0_0,V;ACT;PRS;POS;IND;1;SG,0_13,ADJ;NOM;PL,n;sg;gen,n;pl;nom,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
mieheen,miehestä,0_0,V;ACT;PRS;POS;IND;1;SG,0_4,V;ACT;PRS;POS;IMP;2;SG,n;sg;ill,n;sg;ela,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
ruttosi,rutto,0_19,V;ACT;PRS;POS;COND,0_1,ADJ;NOM;SG,adj;pst;pl;nom;px2sg - adj;pst;sg;gen;px2sg - adj;pst;sg;nom;px2sg - n;pl;nom;px2sg - n;sg;gen;px2sg - n;sg;nom;px2sg,adj;pst;sg;nom - n;sg;nom,ERR_TGT_SLOT_ERROR
voimat,voimaa,0_13,ADJ;NOM;PL,0_3,N;PRT;SG,vaux;agent;pst;pl;nom - verb;agent;pst;pl;nom - n;pl;nom,vaux;agent;pst;sg;par - verb;agent;pst;sg;par - n;sg;par,SRC_SLOT_ERROR
vihastunut,vihastuu,1_7,V;ACT;PST;POS;IND;SG,1_0,V;ACT;PRS;POS;IND;3;SG,verb;actv;past;sg;conneg - verb;actv;pp;pst;sg;nom - adj;pst;sg;nom,verb;actv;pri;p3;sg,C
jalon,jalo,0_0,V;ACT;PRS;POS;IND;1;SG,0_1,ADJ;NOM;SG,adj;pst;sg;gen - n;sg;gen,adj;pst;sg;nom - n;sg;nom,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
taitomiestesi,taitomiesten,0_19,V;ACT;PRS;POS;COND,0_0,V;ACT;PRS;POS;IND;1;SG,n;sg;nom;cmp;n;pl;gen;px2sg,n;sg;nom;cmp;n;pl;gen,ERR_TGT_SLOT_ERROR
tartun,tartuin,0_0,V;ACT;PRS;POS;IND;1;SG,0_15,N;GEN;PL,verb;actv;pri;p1;sg,verb;actv;past;p1;sg,TGT_SLOT_ERROR
rakentuen,rakentukaa,1_10,V;ACT;INS;SG,1_22,V;ACT;PRS;POS;IMP;2;PL,verb;actv;infe;sg;ins,verb;actv;imp;p2;pl,C
naisena,naiseksi,0_14,ADJ;FRML;SG,0_2,ADJ;TRANS;SG,n;sg;ess,n;sg;tra,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
pileserin,pileser,0_15,N;GEN;PL,0_1,ADJ;NOM;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
kala,kalaa,0_1,ADJ;NOM;SG,0_3,N;PRT;SG,n;sg;nom,n;sg;par,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
bilgalla,bilga,0_18,N;AT+ESS;SG,0_1,ADJ;NOM;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
kuolleensa,kuolleesta,0_12,N;NOM;PL,0_17,N;IN+ABL;SG,verb;actv;pp;pst;pl;nom;px3sp - verb;actv;pp;pst;sg;gen;px3sp - verb;actv;pp;pst;sg;nom;px3sp - adj;pst;pl;nom;px3sp - adj;pst;sg;gen;px3sp - adj;pst;sg;nom;px3sp - n;pl;nom;px3sp - n;sg;gen;px3sp - n;sg;nom;px3sp,verb;actv;pp;pst;sg;ela - adj;pst;sg;ela - n;sg;ela,C
sotaväkeä,sotaväkensä,0_3,N;PRT;SG,0_8,ADJ;GEADJ;SG,n;sg;par,n;pl;nom;px3sp - n;sg;gen;px3sp - n;sg;nom;px3sp,ERR_SRC_SLOT_ERROR
vahvistuisi,vahvistuen,1_13,V;ACT;PRS;POS;COND;3;SG,1_10,V;ACT;INS;SG,verb;actv;cni;conneg - verb;actv;cni;p3;sg,verb;actv;infe;sg;ins,C
kuormana,kuormaksi,0_14,ADJ;FRML;SG,0_2,ADJ;TRANS;SG,n;sg;ess,n;sg;tra,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
jaasis,jaasian,0_1,ADJ;NOM;SG,0_9,N;IN+ALL;SG,,,UNK_SRC_SLOT_ERROR;UNK_TGT_SLOT_ERROR;SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
kohtalosta,kohtalonne,0_17,N;IN+ABL;SG,0_5,N;NOM;SG,n;sg;ela,n;pl;nom;px2pl - n;sg;gen;px2pl - n;sg;nom;px2pl,ERR_SRC_SLOT_ERROR
vanhimpain,vanhimpani,0_15,N;GEN;PL,0_16,N;GEN;SG,adj;sup;pl;gen;use_archaic - adj;pst;pl;gen;use_archaic - n;pl;gen;use_archaic,adj;sup;pl;nom;px1sg - adj;sup;sg;gen;px1sg - adj;sup;sg;nom;px1sg - adj;pst;pl;nom;px1sg - adj;pst;sg;gen;px1sg - adj;pst;sg;nom;px1sg - n;pl;nom;px1sg - n;sg;gen;px1sg - n;sg;nom;px1sg,C
viinitarhaa,viinitarha,0_3,N;PRT;SG,0_1,ADJ;NOM;SG,n;sg;par,n;sg;nom,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
maailmaan,maailmalle,0_9,N;IN+ALL;SG,0_6,N;AT+ALL;SG,n;sg;ill,n;sg;all,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
aikakirjassa,aikakirjaa,0_7,N;IN+ESS;SG,0_3,N;PRT;SG,n;sg;ine,n;sg;par,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
metsäöljypuun,metsäöljypuu,0_0,V;ACT;PRS;POS;IND;1;SG,0_1,ADJ;NOM;SG,n;sg;nom;cmp;n;sg;gen - n;sg;nom;cmp;n;sg;nom;cmp;n;sg;gen,n;sg;nom;cmp;n;sg;nom - n;sg;nom;cmp;n;sg;nom;cmp;n;sg;nom,ERR_TGT_SLOT_ERROR
lausuu,lausutte,1_0,V;ACT;PRS;POS;IND;3;SG,1_23,V;ACT;PRS;POS;IND;2;PL,verb;actv;pri;p3;sg,verb;actv;pri;p2;pl,C
saakaa,saat,1_22,V;ACT;PRS;POS;IMP;2;PL,1_9,V;ACT;PRS;POS;IND;2;SG,verb;actv;imp;p2;pl,verb;actv;pri;p2;sg,C
puhumaan,puhuja,1_18,V;IN+ALL;SG,1_1,V;NFIN,verb;actv;infma;sg;ill - verb;agent;pst;sg;ill,n;sg;nom,ERR_TGT_SLOT_ERROR
valittakoot,valittavat,1_20,V;ACT;PRS;POS;IMP;3;PL,1_16,V;ACT;PRS;POS;IND;3;PL,verb;actv;imp;p3;pl,verb;pasv;pprs;pst;pl;nom - verb;actv;pprs;pst;pl;nom - verb;actv;pri;p3;pl - adj;pst;pl;nom,C
pariin,pari,0_15,N;GEN;PL,0_1,ADJ;NOM;SG,n;use_blacklist;sg;ill - n;sg;ill - num;card;sg;ill - post;,n;sg;nom - num;card;sg;nom,SRC_SLOT_ERROR;TGT_SLOT_ERROR
siemenelle,siemenensä,0_6,N;AT+ALL;SG,0_8,ADJ;GEADJ;SG,n;sg;all,n;pl;nom;px3sp - n;sg;gen;px3sp - n;sg;nom;px3sp,ERR_SRC_SLOT_ERROR
polttanut,polttaisi,1_7,V;ACT;PST;POS;IND;SG,1_13,V;ACT;PRS;POS;COND;3;SG,verb;actv;past;sg;conneg - verb;actv;pp;pst;sg;nom - adj;pst;sg;nom,verb;actv;cni;conneg - verb;actv;cni;p3;sg,C
ikkunalla,ikkunaan,0_18,N;AT+ESS;SG,0_9,N;IN+ALL;SG,n;sg;ade,n;sg;ill,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
älyä,äly,0_3,N;PRT;SG,0_1,ADJ;NOM;SG,n;sg;par - verb;actv;imp;p2;sg - verb;actv;pri;conneg,n;sg;nom,ERR_TGT_SLOT_ERROR
torjuvat,torjui,1_16,V;ACT;PRS;POS;IND;3;PL,1_4,V;ACT;PST;POS;IND;3;SG,verb;actv;pprs;pst;pl;nom - verb;actv;pri;p3;pl - adj;pst;pl;nom,verb;actv;past;p3;sg,C
sopikaa,sopinut,1_22,V;ACT;PRS;POS;IMP;2;PL,1_7,V;ACT;PST;POS;IND;SG,verb;actv;imp;p2;pl,verb;actv;past;sg;conneg - verb;actv;pp;pst;sg;nom,C
olet,olemaan,1_9,V;ACT;PRS;POS;IND;2;SG,1_18,V;IN+ALL;SG,vaux;actv;pri;p2;sg - verb;actv;pri;p2;sg,vaux;agent;pst;sg;ill - vaux;actv;infma;sg;ill - verb;agent;pst;sg;ill - verb;actv;infma;sg;ill,ERR_SRC_SLOT_ERROR
saartavat,saartaneet,1_16,V;ACT;PRS;POS;IND;3;PL,1_12,V.PTCP;ACT;PST,verb;actv;pprs;pst;pl;nom - verb;actv;pri;p3;pl - adj;pst;pl;nom,verb;actv;past;pl;conneg - verb;actv;pp;pst;pl;nom - adj;pst;pl;nom,MAPPED_POS_PAIR_ERROR
pyhäkköön,pyhäkköösi,0_0,V;ACT;PRS;POS;IND;1;SG,0_19,V;ACT;PRS;POS;COND,n;sg;ill,n;sg;ill;px2sg,ERR_SRC_SLOT_ERROR;ERR_TGT_SLOT_ERROR
puuttunut,puuttuu,1_7,V;ACT;PST;POS;IND;SG,1_0,V;ACT;PRS;POS;IND;3;SG,verb;actv;past;sg;conneg - verb;actv;pp;pst;sg;nom,verb;actv;pri;p3;sg,C
välkkyvät,välkkyvän,0_13,ADJ;NOM;PL,0_0,V;ACT;PRS;POS;IND;1;SG,adj;pst;pl;nom - verb;actv;pprs;pst;pl;nom - verb;actv;pri;p3;pl,adj;pst;sg;gen - verb;actv;pprs;pst;sg;gen,TGT_SLOT_ERROR
sanain,sanansa,0_15,N;GEN;PL,0_12,N;NOM;PL,n;pl;gen;use_archaic,n;pl;nom;px3sp - n;sg;gen;px3sp - n;sg;nom;px3sp,C
armossa,armosta,0_7,N;IN+ESS;SG,0_17,N;IN+ABL;SG,n;sg;ine,n;sg;ela - adv;,ERR_SRC_SLOT_ERROR
äänen,ääneni,0_0,V;ACT;PRS;POS;IND;1;SG,0_16,N;GEN;SG,n;sg;gen,n;pl;nom;px1sg - n;sg;gen;px1sg - n;sg;nom;px1sg,ERR_SRC_SLOT_ERROR
