src word,tgt word,src slot,tgt slot,src apertium tags,tgt apertium tags,annotation
извини,извинения,0_1,0_11,verb;perf;tv;imp;p2;sg - verb;perf;iv;imp;p2;sg,n;nt;nn;sg;gen - n;nt;nn;pl;nom - n;nt;nn;pl;acc,POS_PAIR_ERROR
которой,которых,2_2,2_1,prn;rel;f;an;sg;gen - prn;rel;f;an;sg;dat - prn;rel;f;an;sg;prp - prn;rel;f;an;sg;ins - det;itg;f;an;sg;gen - det;itg;f;an;sg;dat - det;itg;f;an;sg;prp - det;itg;f;an;sg;ins,prn;rel;mfn;an;pl;gen - prn;rel;mfn;an;pl;prp - prn;rel;mfn;aa;pl;acc - det;itg;mfn;an;pl;gen - det;itg;mfn;an;pl;prp - det;itg;mfn;aa;pl;acc,C
немалое,немалую,2_15,2_13,adj;nt;an;sg;nom - adj;nt;an;sg;acc,adj;f;an;sg;acc - adj;f;nn;sg;acc,C
приходят,приходить,0_29,0_31,verb;impf;iv;pres;p3;pl,verb;impf;iv;inf,C
расставляется,расставляют,1_12,1_0,verb;impf;iv;pres;p3;sg - verb;impf;tv;pres;p3;sg;pass,verb;impf;tv;pres;p3;pl - verb;impf;iv;pres;p3;pl,C
буйволы,буйвол,2_3,2_18,n;m;aa;pl;nom,n;m;aa;sg;nom,C
рубин,рубинами,2_18,2_17,n;m;nn;sg;nom - n;m;nn;sg;dat - n;m;nn;sg;acc,n;m;nn;pl;ins,C
расположили,расположен,0_0,0_24,verb;perf;tv;past;mfn;pl - verb;perf;iv;past;mfn;pl,verb;perf;tv;pp;pasv;short;m;sg - adj;sint;short;m;sg,C
снедение,снедает,0_7,0_14,,,SRC_LEXICAL_ERROR
камням,камней,1_11,1_18,n;f;nn;pl;dat - n;m;nn;pl;dat - n;f;aa;pl;dat,n;f;nn;sg;ins - n;m;nn;pl;gen - n;f;aa;sg;ins,C
сверкают,сверкали,1_0,1_6,verb;impf;iv;pres;p3;pl,verb;impf;iv;past;mfn;pl,C
полу,полу,0_23,0_23,n;m;nn;sg;dat - n;f;nn;sg;acc - n;m;nn;sg;dat - n;m;nn;sg;loc,n;m;nn;sg;dat - n;f;nn;sg;acc - n;m;nn;sg;dat - n;m;nn;sg;loc,C
ослабевайте,ослабевал,1_5,1_4,verb;impf;iv;imp;p2;pl,verb;impf;iv;past;m;sg,C
умножает,умножил,0_14,0_4,verb;impf;tv;pres;p3;sg - verb;impf;iv;pres;p3;sg,verb;perf;tv;past;m;sg - verb;perf;iv;past;m;sg,PARADIGM_ERROR
отвращает,отвращу,0_14,0_23,verb;impf;tv;pres;p3;sg - verb;impf;iv;pres;p3;sg,verb;perf;tv;fut;p1;sg - verb;perf;iv;fut;p1;sg,PARADIGM_ERROR
живую,живое,2_13,2_15,adj;sint;f;an;sg;acc,adj;sint;nt;an;sg;nom - adj;sint;nt;an;sg;acc,C
войском,войском,2_14,2_14,n;nt;nn;sg;ins,n;nt;nn;sg;ins,C
Листры,Листру,2_3,2_19,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
спроси,спросите,0_1,0_6,verb;perf;tv;imp;p2;sg - verb;perf;iv;imp;p2;sg,verb;perf;tv;fut;p2;pl - verb;perf;tv;imp;p2;pl - verb;perf;iv;fut;p2;pl - verb;perf;iv;imp;p2;pl,C
Каафу,Каафов,2_19,2_1,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
служба,служба,2_6,2_6,n;f;nn;sg;nom,n;f;nn;sg;nom,C
Гивы,Гиве,2_3,2_0,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
приготовим,приготовят,0_17,0_29,verb;perf;tv;fut;p1;pl - verb;perf;tv;imp;p1;pl - verb;perf;iv;fut;p1;pl - verb;perf;iv;imp;p1;pl,verb;perf;tv;fut;p3;pl - verb;perf;iv;fut;p3;pl,C
кропить,кропили,0_31,0_0,verb;impf;tv;inf - verb;impf;iv;inf,verb;impf;tv;past;mfn;pl - verb;impf;iv;past;mfn;pl,C
буйвола,буйвол,2_6,2_18,n;m;aa;sg;gen - n;m;aa;sg;acc,n;m;aa;sg;nom,C
первородных,первородный,0_19,0_12,adj;sint;mfn;an;pl;gen - adj;sint;mfn;an;pl;prp - adj;sint;mfn;aa;pl;acc,adj;sint;m;an;sg;nom - adj;sint;m;nn;sg;acc,C
обложен,обложил,0_24,0_4,verb;perf;tv;pp;pasv;short;m;sg,verb;perf;tv;past;m;sg - verb;perf;iv;past;m;sg,C
желаете,желал,1_19,1_4,verb;impf;tv;pres;p2;pl - verb;impf;iv;pres;p2;pl,verb;impf;tv;past;m;sg - verb;impf;iv;past;m;sg,C
лукавые,лукавое,2_8,2_15,n;m;aa;pl;nom - adj;sint;mfn;an;pl;nom - adj;sint;mfn;nn;pl;acc,adj;sint;nt;an;sg;nom - adj;sint;nt;an;sg;acc,C
свята,святой,2_6,2_2,adj;sint;short;f;sg,n;f;aa;sg;ins - n;f;aa;sg;gen - n;f;aa;sg;dat - n;f;aa;sg;prp - n;m;aa;sg;nom - n;f;nn;sg;ins - n;f;nn;sg;gen - n;f;nn;sg;dat - n;f;nn;sg;prp - adj;sint;f;an;sg;gen - adj;sint;f;an;sg;dat - adj;sint;f;an;sg;prp - adj;sint;f;an;sg;ins - adj;sint;m;an;sg;nom - adj;sint;m;nn;sg;acc,C
огорчать,огорчении,0_22,0_5,verb;impf;tv;inf - verb;impf;iv;inf,n;nt;nn;sg;prp,POS_PAIR_ERROR
делали,делит,0_0,0_16,verb;impf;tv;past;mfn;pl - verb;impf;iv;past;mfn;pl,verb;impf;tv;pres;p3;sg - verb;impf;iv;pres;p3;sg,PARADIGM_ERROR
поверят,поверил,0_29,0_4,verb;perf;tv;fut;p3;pl - verb;perf;iv;fut;p3;pl,verb;perf;tv;past;m;sg - verb;perf;iv;past;m;sg,C
порочный,порочные,0_12,0_21,adj;sint;m;an;sg;nom - adj;sint;m;nn;sg;acc,adj;sint;mfn;an;pl;nom - adj;sint;mfn;nn;pl;acc,C
кресту,крестить,0_23,0_31,n;m;nn;sg;dat,verb;perf;tv;inf - verb;perf;iv;inf - verb;impf;tv;inf - verb;impf;iv;inf,POS_PAIR_ERROR
переходи,переходишь,0_1,0_15,verb;perf;iv;imp;p2;sg - verb;impf;tv;imp;p2;sg - verb;impf;iv;imp;p2;sg,verb;perf;iv;fut;p2;sg - verb;impf;tv;pres;p2;sg - verb;impf;iv;pres;p2;sg,C
покорные,покориться,0_21,0_20,adj;sint;mfn;an;pl;nom - adj;sint;mfn;nn;pl;acc,verb;perf;iv;inf,POS_PAIR_ERROR
исполняющий,исполняй,1_21,1_1,verb;impf;tv;pprs;actv;m;an;sg;nom - verb;impf;tv;pprs;actv;m;nn;sg;acc - verb;impf;iv;pprs;actv;m;an;sg;nom - verb;impf;iv;pprs;actv;m;nn;sg;acc,verb;impf;tv;imp;p2;sg - verb;impf;iv;imp;p2;sg,C
взывать,взывай,1_14,1_1,verb;impf;iv;inf,verb;impf;iv;imp;p2;sg,C
властей,властей,1_18,1_18,n;f;nn;pl;gen - n;f;nn;pl;gen,n;f;nn;pl;gen - n;f;nn;pl;gen,C
отступите,отступи,0_6,0_1,verb;perf;iv;fut;p2;pl - verb;perf;iv;imp;p2;pl,verb;perf;iv;imp;p2;sg,C
томиться,томил,0_20,0_4,verb;impf;tv;inf;pass - verb;impf;iv;inf,verb;impf;tv;past;m;sg - verb;impf;iv;past;m;sg,C
полевой,полевым,2_2,2_16,adj;sint;f;an;sg;gen - adj;sint;f;an;sg;dat - adj;sint;f;an;sg;prp - adj;sint;f;an;sg;ins - adj;sint;m;an;sg;nom - adj;sint;m;nn;sg;acc,adj;sint;m;an;sg;ins - adj;sint;nt;an;sg;ins - adj;sint;mfn;an;pl;dat,C
святого,святой,2_7,2_2,n;m;aa;sg;acc - n;m;aa;sg;gen - adj;sint;nt;an;sg;gen - adj;sint;m;an;sg;gen - adj;sint;m;aa;sg;acc,n;f;aa;sg;ins - n;f;aa;sg;gen - n;f;aa;sg;dat - n;f;aa;sg;prp - n;m;aa;sg;nom - n;f;nn;sg;ins - n;f;nn;sg;gen - n;f;nn;sg;dat - n;f;nn;sg;prp - adj;sint;f;an;sg;gen - adj;sint;f;an;sg;dat - adj;sint;f;an;sg;prp - adj;sint;f;an;sg;ins - adj;sint;m;an;sg;nom - adj;sint;m;nn;sg;acc,C
золотую,золотою,2_13,2_4,adj;sint;f;an;sg;acc,adj;sint;f;an;sg;ins,C
литься,лились,0_20,0_25,verb;impf;tv;inf;pass - verb;impf;iv;inf,verb;impf;iv;past;mfn;pl - verb;impf;tv;past;mfn;pl;pass,C
доходила,доходили,0_9,0_0,verb;perf;iv;past;f;sg - verb;impf;iv;past;f;sg,verb;perf;iv;past;mfn;pl - verb;impf;iv;past;mfn;pl,C
безумным,безумен,0_28,0_24,n;f;aa;pl;dat - adj;sint;m;an;sg;ins - adj;sint;nt;an;sg;ins - adj;sint;mfn;an;pl;dat,adj;sint;short;m;sg,C
Емафе,Емафу,2_0,2_19,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
Небеса,Небесное,0_13,0_3,n;nt;nn;pl;acc - n;nt;nn;pl;nom - n;nt;nn;pl;nom - n;nt;nn;pl;acc,adj;sint;nt;an;sg;nom - adj;sint;nt;an;sg;acc,POS_PAIR_ERROR
называющий,называть,1_21,1_14,verb;impf;tv;pprs;actv;m;an;sg;nom - verb;impf;tv;pprs;actv;m;nn;sg;acc - verb;impf;iv;pprs;actv;m;an;sg;nom - verb;impf;iv;pprs;actv;m;nn;sg;acc,verb;impf;tv;inf - verb;impf;iv;inf,C
Иецера,Иецер,2_6,2_18,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
знатного,знатных,2_7,2_1,adj;sint;nt;an;sg;gen - adj;sint;m;an;sg;gen - adj;sint;m;aa;sg;acc,adj;sint;mfn;an;pl;gen - adj;sint;mfn;an;pl;prp - adj;sint;mfn;aa;pl;acc,C
островов,острове,2_1,2_0,n;m;nn;pl;gen,n;m;nn;sg;prp,C
умертвила,умертвили,0_9,0_0,verb;perf;tv;past;f;sg - verb;perf;iv;past;f;sg,verb;perf;tv;past;mfn;pl - verb;perf;iv;past;mfn;pl,C
красивая,красивым,2_9,2_16,adj;sint;f;an;sg;nom,adj;sint;m;an;sg;ins - adj;sint;nt;an;sg;ins - adj;sint;mfn;an;pl;dat,C
одолев,одолев,0_26,0_26,verb;perf;tv;pp;adv - verb;perf;iv;pp;adv,verb;perf;tv;pp;adv - verb;perf;iv;pp;adv,C
действуй,действуем,1_1,1_13,verb;impf;iv;imp;p2;sg,verb;impf;iv;pres;p1;pl,C
дорогую,дорогой,2_13,2_2,adj;sint;f;an;sg;acc,n;f;nn;sg;ins - adv; - adj;sint;f;an;sg;gen - adj;sint;f;an;sg;dat - adj;sint;f;an;sg;prp - adj;sint;f;an;sg;ins - adj;sint;m;an;sg;nom - adj;sint;m;nn;sg;acc,C
пронесется,пронес,1_12,1_1,verb;perf;iv;fut;p3;sg,verb;perf;tv;past;m;sg - verb;perf;iv;past;m;sg,PARADIGM_ERROR
восемнадцатым,восемнадцати,2_16,2_3,det;ord;nt;an;sg;ins - det;ord;m;an;sg;ins - det;ord;mfn;an;pl;dat,num;mfn;pl;gen - num;mfn;pl;dat - num;mfn;pl;prp,POS_PAIR_ERROR
обоняют,обонял,1_0,1_4,verb;impf;tv;pres;p3;pl - verb;impf;iv;pres;p3;pl,verb;impf;tv;past;m;sg - verb;impf;iv;past;m;sg,C
убийцу,убийца,2_19,2_6,n;m;aa;sg;acc - n;f;aa;sg;acc,n;m;aa;sg;nom - n;f;aa;sg;nom,C
поставили,поставится,0_0,0_8,,,TGT_LEXICAL_ERROR
вина,вином,2_6,2_14,n;f;nn;sg;nom - n;nt;nn;sg;gen - n;nt;nn;pl;nom - n;nt;nn;pl;acc,n;nt;nn;sg;ins,C
обычаю,обычай,1_2,1_1,n;m;nn;sg;dat,n;m;nn;sg;nom - n;m;nn;sg;acc,C
письмом,письмами,2_14,2_17,n;nt;nn;sg;ins,n;nt;nn;pl;ins,C
козлах,козлом,2_10,2_14,n;f;nn;pl;prp - n;m;aa;pl;prp - n;m;nn;pl;prp,n;m;aa;sg;ins - n;m;nn;sg;ins,C
умыслы,умысла,2_3,2_6,n;m;nn;pl;nom - n;m;nn;pl;acc,n;m;nn;sg;gen,C
обвинят,обвинить,0_29,0_31,verb;perf;tv;fut;p3;pl - verb;perf;iv;fut;p3;pl,verb;perf;tv;inf - verb;perf;iv;inf,C
укрепит,укрепи,0_16,0_1,verb;perf;tv;fut;p3;sg - verb;perf;iv;fut;p3;sg,verb;perf;tv;imp;p2;sg - verb;perf;iv;imp;p2;sg,C
необрезан,необрезанным,0_26,0_28,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
срамит,срамное,0_16,0_3,verb;impf;tv;pres;p3;sg - verb;impf;iv;pres;p3;sg,adj;sint;nt;an;sg;nom - adj;sint;nt;an;sg;acc,POS_PAIR_ERROR
горестями,горесть,1_7,1_1,n;f;nn;pl;ins,n;f;nn;sg;nom - n;f;nn;sg;acc,C
грешный,грешных,0_12,0_19,adj;sint;m;an;sg;nom - adj;sint;m;nn;sg;acc,adj;sint;mfn;an;pl;gen - adj;sint;mfn;an;pl;prp - adj;sint;mfn;aa;pl;acc,C
успокаивает,успокаивается,1_3,1_12,verb;impf;tv;pres;p3;sg - verb;impf;iv;pres;p3;sg,verb;impf;iv;pres;p3;sg - verb;impf;tv;pres;p3;sg;pass,C
кидар,кидары,2_18,2_3,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
необычайно,необычайное,2_18,2_0,adj;sint;cmp - adj;sint;short;nt;sg,adj;sint;nt;an;sg;nom - adj;sint;nt;an;sg;acc,C
удержишь,удержится,0_15,0_8,verb;perf;tv;fut;p2;sg - verb;perf;iv;fut;p2;sg,verb;perf;iv;fut;p3;sg,PARADIGM_ERROR
заключен,заключал,0_24,0_4,adj;sint;short;m;sg - verb;perf;tv;pp;pasv;short;m;sg,verb;impf;tv;past;m;sg - verb;impf;iv;past;m;sg,PARADIGM_ERROR
местах,месту,2_10,2_19,n;nt;nn;pl;prp,n;nt;nn;sg;dat,C
Новах,Новах,2_10,2_10,n;f;nn;pl;prp,n;f;nn;pl;prp,C
вдову,вдовою,2_19,2_4,n;f;aa;sg;acc,n;f;aa;sg;ins - adj;sint;f;an;sg;ins,C
пасхальных,пасхального,2_1,2_7,adj;sint;mfn;an;pl;gen - adj;sint;mfn;an;pl;prp - adj;sint;mfn;aa;pl;acc,adj;sint;nt;an;sg;gen - adj;sint;m;an;sg;gen - adj;sint;m;aa;sg;acc,C
отправили,отправился,0_0,0_18,verb;perf;tv;past;mfn;pl - verb;perf;iv;past;mfn;pl,verb;perf;iv;past;m;sg,PARADIGM_ERROR
зимою,зима,2_4,2_6,n;f;nn;sg;ins,n;m;nn;sg;gen - n;f;nn;sg;nom,C
отверстое,отверсты,2_15,2_3,adj;sint;nt;an;sg;nom - adj;sint;nt;an;sg;acc,adj;sint;short;mfn;pl,C
беден,бед,0_24,0_26,adj;sint;short;m;sg,n;f;nn;pl;gen,POS_PAIR_ERROR
внимания,внимающий,1_8,1_21,n;nt;nn;sg;gen - n;nt;nn;pl;nom - n;nt;nn;pl;acc,verb;impf;iv;pprs;actv;m;an;sg;nom - verb;impf;iv;pprs;actv;m;nn;sg;acc,POS_PAIR_ERROR
расположи,расположились,0_1,0_25,verb;perf;tv;imp;p2;sg - verb;perf;iv;imp;p2;sg,verb;perf;iv;past;mfn;pl,PARADIGM_ERROR
дым,дыму,0_26,0_23,n;m;nn;sg;nom - n;m;nn;sg;acc,n;m;nn;sg;dat - n;m;nn;sg;prp,C
поспешите,поспешен,0_6,0_24,verb;perf;iv;fut;p2;pl - verb;perf;iv;imp;p2;pl,adj;sint;short;m;sg,POS_PAIR_ERROR
укрывал,укрываешь,1_4,1_23,verb;impf;tv;past;m;sg - verb;impf;iv;past;m;sg,verb;impf;tv;pres;p2;sg - verb;impf;iv;pres;p2;sg,C
душ,душу,2_18,2_19,n;m;nn;sg;nom - n;m;nn;sg;acc - n;f;nn;pl;gen,n;m;nn;sg;dat - n;f;nn;sg;dat - n;f;nn;sg;acc - verb;impf;tv;pres;p1;sg - verb;impf;iv;pres;p1;sg,C
Гиезия,Гиезий,1_20,1_1,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
Израильское,Израильскою,2_15,2_4,adj;nt;an;sg;nom - adj;nt;an;sg;acc,adj;f;an;sg;ins,C
жнеца,жнецом,2_6,2_14,n;m;aa;sg;gen - n;m;aa;sg;acc,n;m;aa;sg;ins,C
собирают,собирания,1_0,1_8,verb;impf;tv;pres;p3;pl - verb;impf;iv;pres;p3;pl,n;nt;nn;sg;gen - n;nt;nn;pl;nom - n;nt;nn;pl;acc,POS_PAIR_ERROR
осквернит,осквернил,0_16,0_4,verb;perf;tv;fut;p3;sg - verb;perf;iv;fut;p3;sg,verb;perf;tv;past;m;sg - verb;perf;iv;past;m;sg,C
правым,правым,2_16,2_16,n;m;aa;pl;dat - n;m;aa;sg;ins - adj;sint;m;an;sg;ins - adj;sint;nt;an;sg;ins - adj;sint;mfn;an;pl;dat,n;m;aa;pl;dat - n;m;aa;sg;ins - adj;sint;m;an;sg;ins - adj;sint;nt;an;sg;ins - adj;sint;mfn;an;pl;dat,C
Гаваоном,Гаваона,2_14,2_6,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
обильных,обильную,2_1,2_13,adj;sint;mfn;an;pl;gen - adj;sint;mfn;an;pl;prp - adj;sint;mfn;aa;pl;acc,adj;sint;f;an;sg;acc - adj;sint;f;nn;sg;acc,C
ведома,ведомый,2_6,2_12,n;nt;nn;sg;gen - n;nt;nn;pl;nom - n;nt;nn;pl;acc - adj;sint;short;f;sg,adj;sint;m;an;sg;nom - adj;sint;m;nn;sg;acc,C
уповающий,упования,1_21,1_8,verb;impf;iv;pprs;actv;m;an;sg;nom - verb;impf;iv;pprs;actv;m;nn;sg;acc,n;nt;nn;sg;gen - n;nt;nn;pl;nom - n;nt;nn;pl;acc,POS_PAIR_ERROR
свидетельствуйте,свидетельствующий,1_5,1_21,verb;impf;tv;imp;p2;pl - verb;impf;iv;imp;p2;pl,verb;impf;iv;pprs;actv;m;an;sg;nom - verb;impf;iv;pprs;actv;m;nn;sg;acc - verb;impf;tv;pprs;actv;m;an;sg;nom - verb;impf;tv;pprs;actv;m;nn;sg;acc,C
угнетен,угнетает,0_24,0_14,adj;sint;short;m;sg,verb;impf;tv;pres;p3;sg - verb;impf;iv;pres;p3;sg,POS_PAIR_ERROR
умоляя,умоляем,1_20,1_13,verb;impf;tv;pprs;adv - verb;impf;iv;pprs;adv,verb;impf;tv;pres;p1;pl - verb;impf;iv;pres;p1;pl - verb;impf;tv;pprs;pasv;short;m;sg,C
забывать,забыв,0_22,0_26,verb;impf;tv;inf - verb;impf;iv;inf,verb;perf;tv;pp;adv - verb;perf;iv;pp;adv,PARADIGM_ERROR
изменить,измена,0_31,0_13,verb;perf;iv;inf - verb;perf;tv;inf - verb;perf;iv;inf,n;f;nn;sg;nom,POS_PAIR_ERROR
хула,хулить,0_13,0_31,n;f;nn;sg;nom,verb;impf;tv;inf - verb;impf;iv;inf,POS_PAIR_ERROR
проси,просят,0_1,0_29,verb;impf;tv;imp;p2;sg - verb;impf;iv;imp;p2;sg,verb;impf;tv;pres;p3;pl - verb;impf;iv;pres;p3;pl,C
ужас,ужас,0_26,0_26,n;m;nn;sg;nom - n;m;nn;sg;dat - n;m;nn;sg;acc,n;m;nn;sg;nom - n;m;nn;sg;dat - n;m;nn;sg;acc,C
умножает,умножали,0_14,0_0,verb;impf;tv;pres;p3;sg - verb;impf;iv;pres;p3;sg,verb;impf;tv;past;mfn;pl - verb;impf;iv;past;mfn;pl,C
покойны,покойно,2_3,2_0,adj;sint;short;mfn;pl,adj;sint;cmp - adj;sint;short;nt;sg,C
светлы,светлом,2_3,2_14,adj;sint;short;mfn;pl,adj;sint;nt;an;sg;prp - adj;sint;m;an;sg;prp,C
Вефиле,Вефиля,1_10,1_20,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
поядать,поядает,1_14,1_3,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
соделал,соделай,1_4,1_1,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
осудил,осудили,0_4,0_0,verb;perf;tv;past;m;sg - verb;perf;iv;past;m;sg,verb;perf;tv;past;mfn;pl - verb;perf;iv;past;mfn;pl,C
умоешь,умойте,1_23,1_5,verb;perf;tv;fut;p2;sg - verb;perf;iv;fut;p2;sg,verb;perf;tv;imp;p2;pl - verb;perf;iv;imp;p2;pl,C
небольшом,небольшого,2_14,2_7,adj;nt;an;sg;prp - adj;m;an;sg;prp,adj;nt;an;sg;gen - adj;m;an;sg;gen - adj;m;aa;sg;acc,C
прибавляется,прибавлять,1_12,1_14,verb;impf;iv;pres;p3;sg - verb;impf;tv;pres;p3;sg;pass,verb;impf;tv;inf - verb;impf;iv;inf,C
поражения,поражать,0_11,0_22,n;nt;nn;sg;gen - n;nt;nn;pl;nom - n;nt;nn;pl;acc,verb;impf;tv;inf - verb;impf;iv;inf,POS_PAIR_ERROR
бодрствуем,бодрствую,1_13,1_2,verb;impf;iv;pres;p1;pl,verb;impf;iv;pres;p1;sg,C
Иависова,Иависе,2_5,2_0,,,SRC_LEXICAL_ERROR TGT_LEXICAL_ERROR
согрешение,согрешать,0_7,0_22,n;nt;nn;sg;nom - n;nt;nn;sg;acc,verb;impf;iv;inf,POS_PAIR_ERROR
края,краю,1_20,1_2,n;m;nn;sg;gen - n;m;nn;pl;nom - n;m;nn;pl;acc,n;m;nn;sg;dat,C
собирают,собираю,1_0,1_2,verb;impf;tv;pres;p3;pl - verb;impf;iv;pres;p3;pl,verb;impf;tv;pres;p1;sg - verb;impf;iv;pres;p1;sg,C
вознес,вознесется,1_1,1_12,verb;perf;tv;past;m;sg - verb;perf;iv;past;m;sg,verb;perf;iv;fut;p3;sg,PARADIGM_ERROR
избранная,избранная,2_9,2_9,verb;perf;tv;pp;pasv;f;an;sg;nom - adj;sint;f;an;sg;nom,verb;perf;tv;pp;pasv;f;an;sg;nom - adj;sint;f;an;sg;nom,C
правая,право,2_9,2_0,adj;sint;f;an;sg;nom,n;nt;nn;sg;nom - n;nt;nn;sg;acc - adj;sint;cmp - adj;sint;short;nt;sg,C
садите,садил,0_6,0_4,verb;impf;tv;imp;p2;pl - verb;impf;tv;pres;p2;pl - verb;impf;iv;imp;p2;pl - verb;impf;iv;pres;p2;pl,verb;impf;tv;past;m;sg - verb;impf;iv;past;m;sg,C
поступить,поступал,0_31,0_4,verb;perf;iv;inf,verb;impf;iv;past;m;sg,PARADIGM_ERROR
догнал,догнал,1_1,1_1,verb;perf;tv;past;m;sg - verb;perf;iv;past;m;sg,verb;perf;tv;past;m;sg - verb;perf;iv;past;m;sg,C
отдыхает,отдыха,0_14,0_13,verb;impf;iv;pres;p3;sg,n;m;nn;sg;gen,POS_PAIR_ERROR
рассветом,рассвете,2_14,2_0,n;m;nn;sg;ins,n;m;nn;sg;prp,C
щеку,щеке,2_19,2_0,n;f;nn;sg;acc,n;f;nn;sg;dat - n;f;nn;sg;prp,C
молила,молении,0_9,0_5,verb;impf;tv;past;f;sg - verb;impf;iv;past;f;sg,n;nt;nn;sg;prp,POS_PAIR_ERROR
отряда,отряды,2_6,2_3,n;m;nn;sg;gen,n;m;nn;pl;nom - n;m;nn;pl;acc,C
сокрушить,сокрушил,0_31,0_4,verb;perf;tv;inf - verb;perf;iv;inf,verb;perf;tv;past;m;sg - verb;perf;iv;past;m;sg,C
входим,входите,0_17,0_6,verb;impf;iv;pres;p1;pl,verb;impf;iv;imp;p2;pl - verb;impf;iv;pres;p2;pl,C
помышляем,помышлял,1_13,1_4,verb;impf;iv;pres;p1;pl,verb;impf;iv;past;m;sg,C
производил,производите,0_4,0_6,verb;impf;tv;past;m;sg - verb;impf;iv;past;m;sg,verb;impf;tv;imp;p2;pl - verb;impf;tv;pres;p2;pl - verb;impf;iv;imp;p2;pl - verb;impf;iv;pres;p2;pl,C
сатаною,сатане,2_4,2_0,n;m;aa;sg;ins - n;f;aa;sg;ins,n;m;aa;sg;dat - n;m;aa;sg;prp - n;f;aa;sg;dat - n;f;aa;sg;prp,C
посмотрите,посмотрят,0_6,0_29,verb;perf;tv;fut;p2;pl - verb;perf;tv;imp;p2;pl - verb;perf;iv;fut;p2;pl - verb;perf;iv;imp;p2;pl,verb;perf;tv;fut;p3;pl - verb;perf;iv;fut;p3;pl,C
спасу,спасены,0_23,0_27,n;m;nn;sg;dat - n;m;nn;sg;dat - n;m;aa;sg;dat - verb;perf;tv;fut;p1;sg - verb;perf;iv;fut;p1;sg,verb;perf;tv;pp;pasv;short;mfn;pl,C
выходим,выходить,0_17,0_31,verb;perf;tv;fut;p1;pl - verb;perf;tv;imp;p1;pl - verb;perf;iv;fut;p1;pl - verb;perf;iv;imp;p1;pl - verb;impf;iv;pres;p1;pl,verb;perf;tv;inf - verb;perf;iv;inf - verb;impf;iv;inf,C
